Source,Target,Airline;Price
CDG,JFK,AAL;28,07
JFK,CDG,AAL;25,47
ORY,LHR,IBE;39,39
ORY,LHR,BAW;46,48
OPO,LIS,TAP;9,18
GKA,MAG,TOK;41,07
GKA,HGU,TOK;34,12
GKA,LAE,TOK;42,83
GKA,POM,TOK;23,33
GKA,POM,ANG;75,04
MAG,GKA,TOK;90,06
MAG,HGU,TOK;38,11
MAG,LAE,TOK;28,96
MAG,POM,ANG;7,45
MAG,WWK,TOK;49,52
MAG,WWK,ANG;58,43
MAG,MAS,ANG;79,92
MAG,VAI,ANG;20,63
HGU,GKA,TOK;53,66
HGU,MAG,TOK;8,2
HGU,LAE,TOK;36,8
HGU,POM,TOK;43,59
HGU,POM,ANG;36,8
HGU,WWK,TOK;24,13
HGU,WWK,ANG;26,28
HGU,MXH,TOK;58
HGU,TIZ,TOK;77,56
HGU,TBG,TOK;93,02
LAE,GKA,TOK;47,45
LAE,MAG,TOK;11,04
LAE,HGU,TOK;41,54
LAE,POM,TOK;73,25
LAE,POM,ANG;42,52
LAE,DAU,TOK;15,64
LAE,PNP,TOK;34,7
LAE,HKN,TOK;36,6
LAE,HKN,ANG;77,03
LAE,MAS,TOK;96,99
LAE,RAB,TOK;29,92
POM,GKA,TOK;8,94
POM,GKA,ANG;84,07
POM,MAG,ANG;10,68
POM,HGU,TOK;63,85
POM,HGU,ANG;16,68
POM,LAE,TOK;71,68
POM,LAE,ANG;85,58
POM,WWK,ANG;95,43
POM,NAN,ANG;20,33
POM,NRT,ANG;27,65
POM,MNL,ANG;52,83
POM,HKG,ANG;56,12
POM,SIN,ANG;33,59
POM,BNE,TOK;23,67
POM,BNE,ANG;0,99
POM,BNE,QFA;20,98
POM,BNE,VOZ;42,04
POM,CNS,ANG;44,83
POM,CNS,QFA;84,65
POM,SYD,ANG;87,69
POM,SYD,QFA;44,11
POM,DPS,ANG;47,94
POM,HIR,ANG;17,88
POM,CEB,ANG;62,8
POM,BUA,ANG;2,61
POM,CMU,ANG;86,16
POM,DAU,TOK;50,9
POM,DAU,ANG;68,65
POM,GUR,TOK;31,41
POM,GUR,ANG;35,86
POM,PNP,TOK;92,1
POM,PNP,ANG;62,35
POM,HKN,TOK;99,3
POM,HKN,ANG;94,23
POM,UNG,TOK;3,26
POM,UNG,ANG;71,84
POM,KVG,ANG;87,11
POM,MDU,ANG;31,97
POM,MAS,ANG;66,74
POM,MXH,TOK;49,21
POM,TIZ,TOK;48,42
POM,TIZ,ANG;32,88
POM,TBG,TOK;82,03
POM,TBG,ANG;84,43
POM,RAB,TOK;76,02
POM,RAB,ANG;13,98
POM,VAI,ANG;92,2
POM,WBM,ANG;76,39
POM,LNV,TOK;3,4
POM,LNV,ANG;20,5
POM,TFI,TOK;53,27
WWK,MAG,TOK;75,19
WWK,MAG,ANG;61,71
WWK,HGU,TOK;12,06
WWK,HGU,ANG;7,33
WWK,POM,ANG;20,09
WWK,VAI,ANG;25,01
UAK,GOH,GRL;35,22
UAK,SFJ,GRL;61
UAK,JFR,GRL;44,92
UAK,JJU,GRL;16,96
UAK,JNS,GRL;25,7
GOH,UAK,GRL;73,78
GOH,SFJ,GRL;81,08
GOH,KEF,GRL;3,6
GOH,RKV,FXI;28,7
GOH,JAV,GRL;22,83
GOH,KUS,GRL;98,3
GOH,JFR,GRL;12,24
GOH,JSU,GRL;44,6
GOH,JHS,GRL;5,33
SFJ,UAK,GRL;79,03
SFJ,GOH,GRL;82,96
SFJ,CPH,GRL;70,58
SFJ,JAV,GRL;10,71
SFJ,JEG,GRL;16,4
SFJ,KUS,GRL;10,33
SFJ,JSU,GRL;47,84
